Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Afghanistan,2018,2.7,%,South Asia,AFG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Afghanistan,2019,3.0,%,South Asia,AFG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Afghanistan,2020 forecast,-5.0,%,South Asia,AFG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Afghanistan,2021 forecast,1.5,%,South Asia,AFG,Asian Development Outlook (ADO) 2020 Update (September 2020)
Armenia,2018,5.2,%,Central Asia,ARM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Armenia,2019,7.6,%,Central Asia,ARM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Armenia,2020 forecast,-4.0,%,Central Asia,ARM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Armenia,2021 forecast,3.5,%,Central Asia,ARM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Azerbaijan,2018,1.4,%,Central Asia,AZE,Asian Development Outlook (ADO) 2020 Update (September 2020)
Azerbaijan,2019,2.2,%,Central Asia,AZE,Asian Development Outlook (ADO) 2020 Update (September 2020)
Azerbaijan,2020 forecast,-4.3,%,Central Asia,AZE,Asian Development Outlook (ADO) 2020 Update (September 2020)
Azerbaijan,2021 forecast,1.2,%,Central Asia,AZE,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bangladesh,2018,7.9,%,South Asia,BGD,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bangladesh,2019,8.2,%,South Asia,BGD,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bangladesh,2020 forecast,5.2,%,South Asia,BGD,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bangladesh,2021 forecast,6.8,%,South Asia,BGD,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bhutan,2018,3.8,%,South Asia,BTN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bhutan,2019,4.4,%,South Asia,BTN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bhutan,2020 forecast,2.4,%,South Asia,BTN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Bhutan,2021 forecast,1.7,%,South Asia,BTN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Brunei Darussalam,2018,0.1,%,Southeast Asia,BRN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Brunei Darussalam,2019,3.9,%,Southeast Asia,BRN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Brunei Darussalam,2020 forecast,1.4,%,Southeast Asia,BRN,Asian Development Outlook (ADO) 2020 Update (September 2020)
Brunei Darussalam,2021 forecast,3.0,%,Southeast Asia,BRN,Asian Development Outlook (ADO) 2020 Update (September 2020)
