Year,m,d,Time,Time zone,Air temperature (degC)
2019,12,1,00:00,UTC,-10.1
2019,12,2,00:00,UTC,-3.1
2019,12,3,00:00,UTC,-6.3
2019,12,4,00:00,UTC,-4.8
2019,12,5,00:00,UTC,-3.3
2019,12,6,00:00,UTC,-5.2
2019,12,7,00:00,UTC,-6.3
2019,12,8,00:00,UTC,-10.8
2019,12,9,00:00,UTC,-25.3
2019,12,10,00:00,UTC,-9.5
2019,12,11,00:00,UTC,-12.6
2019,12,12,00:00,UTC,-1.1
2019,12,13,00:00,UTC,0.7
2019,12,14,00:00,UTC,-0.1
2019,12,15,00:00,UTC,-0.6
2019,12,16,00:00,UTC,-0.8
2019,12,17,00:00,UTC,-3
2019,12,18,00:00,UTC,-9.6
2019,12,19,00:00,UTC,-10.2
2019,12,20,00:00,UTC,-11.8
2019,12,21,00:00,UTC,-12.6
2019,12,22,00:00,UTC,-18.1
2019,12,23,00:00,UTC,-5.1
2019,12,24,00:00,UTC,-4
2019,12,25,00:00,UTC,-4.1
2019,12,26,00:00,UTC,-7.3
2019,12,27,00:00,UTC,-10.5
2019,12,28,00:00,UTC,-7.1
2019,12,29,00:00,UTC,0
2019,12,30,00:00,UTC,-3.2
2019,12,31,00:00,UTC,-5.5
2020,1,1,00:00,UTC,-15.7
2020,1,2,00:00,UTC,-9.9
2020,1,3,00:00,UTC,-5.4
2020,1,4,00:00,UTC,-4.9
2020,1,5,00:00,UTC,-7.3
2020,1,6,00:00,UTC,-12.9
2020,1,7,00:00,UTC,-6.2
2020,1,8,00:00,UTC,0.4
2020,1,9,00:00,UTC,-2.1
2020,1,10,00:00,UTC,-1.5
2020,1,11,00:00,UTC,-6
2020,1,12,00:00,UTC,-3.4
2020,1,13,00:00,UTC,-13.4
2020,1,14,00:00,UTC,-10.2
2020,1,15,00:00,UTC,-3.2
2020,1,16,00:00,UTC,-13.9
2020,1,17,00:00,UTC,-18.9
2020,1,18,00:00,UTC,-30.5
2020,1,19,00:00,UTC,-30.9
2020,1,20,00:00,UTC,-5.5
2020,1,21,00:00,UTC,-1.5
2020,1,22,00:00,UTC,-5.6
2020,1,23,00:00,UTC,-12
2020,1,24,00:00,UTC,-11.9
2020,1,25,00:00,UTC,-16.3
2020,1,26,00:00,UTC,-13.8
2020,1,27,00:00,UTC,-30.6
2020,1,28,00:00,UTC,-34.1
2020,1,29,00:00,UTC,-31.1
2020,1,30,00:00,UTC,-10.4
2020,1,31,00:00,UTC,-10.8
2020,2,1,00:00,UTC,-11.8
2020,2,2,00:00,UTC,-8.5
2020,2,3,00:00,UTC,-10.2
2020,2,4,00:00,UTC,-17.5
2020,2,5,00:00,UTC,-11.6
2020,2,6,00:00,UTC,-7.8
2020,2,7,00:00,UTC,-4.8
2020,2,8,00:00,UTC,1.9
2020,2,9,00:00,UTC,-6.3
2020,2,10,00:00,UTC,0.3
2020,2,11,00:00,UTC,0.6
2020,2,12,00:00,UTC,-6.1
2020,2,13,00:00,UTC,-11.4
2020,2,14,00:00,UTC,-20.1
2020,2,15,00:00,UTC,-18
2020,2,16,00:00,UTC,-12.8
2020,2,17,00:00,UTC,-0.6
2020,2,18,00:00,UTC,-3.1
2020,2,19,00:00,UTC,-14.1
2020,2,20,00:00,UTC,-10.2
2020,2,21,00:00,UTC,-2.3
2020,2,22,00:00,UTC,0.7
2020,2,23,00:00,UTC,-4.1
2020,2,24,00:00,UTC,-2.2
2020,2,25,00:00,UTC,-18.8
2020,2,26,00:00,UTC,-19.9
2020,2,27,00:00,UTC,-13.2
2020,2,28,00:00,UTC,-9.1
2020,2,29,00:00,UTC,-13.1
